,id,name,position,team,assists,games,games_started,goals,time_on_ice,blocked,penaltymin,plusMinus,wins,losses,gaa,shots_against,goals_against,shutouts,yearid
0,8471233,Travis Zajac,Forward,New Jersey Devils,16.0,69.0,0.0,9.0,17:05,39.0,28.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
1,8472382,Andy Greene,Defenseman,New Jersey Devils,12.0,63.0,0.0,2.0,19:32,155.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
2,8474056,P.K. Subban,Defenseman,New Jersey Devils,11.0,68.0,0.0,7.0,22:07,90.0,79.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
3,8474190,Wayne Simmonds,Forward,New Jersey Devils,17.0,68.0,0.0,8.0,14:55,29.0,66.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
4,8475151,Kyle Palmieri,Forward,New Jersey Devils,20.0,65.0,0.0,25.0,17:06,36.0,41.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
5,8475222,Sami Vatanen,Defenseman,New Jersey Devils,18.0,47.0,0.0,5.0,21:45,80.0,22.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
6,8475791,Taylor Hall,Forward,New Jersey Devils,36.0,65.0,0.0,16.0,19:10,29.0,34.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
7,8476043,Ben Street,Forward,New Jersey Devils,1.0,3.0,0.0,0.0,08:07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
8,8476368,Fredrik Claesson,Defenseman,New Jersey Devils,1.0,5.0,0.0,1.0,14:29,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
9,8476399,Blake Coleman,Forward,New Jersey Devils,11.0,66.0,0.0,21.0,16:43,46.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
10,8476807,Matt Tennyson,Defenseman,New Jersey Devils,3.0,20.0,0.0,0.0,12:08,18.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020
