PLAYER,YEAR,POS,TEAM,CAP HIT,SALARY PERCENTAGE
Connor McDavid,2020,C,EDM,12500000,0.154
Connor McDavid,2018,C,EDM,12500000,0.157
Connor McDavid,2019,C,EDM,12500000,0.153
Connor McDavid,2021,C,EDM,12500000,0.155
Artemi Panarin,2021,LW,NYR,11642857,0.143
Artemi Panarin,2019,LW,NYR,11642857,0.143
Artemi Panarin,2020,LW,NYR,11642857,0.151
Auston Matthews,2020,C,TOR,11640250,0.143
Auston Matthews,2021,C,TOR,11640250,0.143
Auston Matthews,2019,C,TOR,11640250,0.143
Erik Karlsson,2019,D,SJS,11500000,0.142
Erik Karlsson,2021,D,SJS,11500000,0.141
Erik Karlsson,2020,D,SJS,11500000,0.141
Drew Doughty,2021,D,LAK,11000000,0.135
John Tavares,2020,C,TOR,11000000,0.135
John Tavares,2021,C,TOR,11000000,0.135
John Tavares,2019,C,TOR,11000000,0.135
John Tavares,2018,C,TOR,11000000,0.143
Drew Doughty,2020,D,LAK,11000000,0.135
Drew Doughty,2019,D,LAK,11000000,0.135
Mitchell Marner,2020,RW,TOR,10903000,0.134
Mitchell Marner,2021,RW,TOR,10903000,0.134
Mitchell Marner,2019,RW,TOR,10903000,0.134
Patrick Kane,2021,RW,CHI,10500000,0.13
Carey Price,2020,G,MTL,10500000,0.129
Jonathan Toews,2021,C,CHI,10500000,0.13
Patrick Kane,2017,RW,CHI,10500000,0.147
Jonathan Toews,2017,C,CHI,10500000,0.147
Patrick Kane,2015,RW,CHI,10500000,0.149
Jonathan Toews,2015,C,CHI,10500000,0.149
Carey Price,2018,G,MTL,10500000,0.132
Patrick Kane,2020,RW,CHI,10500000,0.131
Jonathan Toews,2020,C,CHI,10500000,0.131
Carey Price,2019,G,MTL,10500000,0.129
Patrick Kane,2018,RW,CHI,10500000,0.134
Jonathan Toews,2018,C,CHI,10500000,0.134
Patrick Kane,2019,RW,CHI,10500000,0.129
Jonathan Toews,2019,C,CHI,10500000,0.129
Patrick Kane,2016,RW,CHI,10500000,0.15
Jonathan Toews,2016,C,CHI,10500000,0.15
Carey Price,2021,G,MTL,10500000,0.13
William Nylander,2018,C,TOR,10200000,0.133
Anze Kopitar,2021,C,LAK,10000000,0.123
Anze Kopitar,2016,C,LAK,10000000,0.137
Jack Eichel,2020,C,BUF,10000000,0.125
Jack Eichel,2021,C,BUF,10000000,0.123
Jack Eichel,2019,C,BUF,10000000,0.123
Sergei Bobrovsky,2020,G,FLA,10000000,0.123
Jack Eichel,2018,C,BUF,10000000,0.126
Anze Kopitar,2017,C,LAK,10000000,0.133
Sergei Bobrovsky,2019,G,FLA,10000000,0.123
Anze Kopitar,2020,C,LAK,10000000,0.123
Anze Kopitar,2018,C,LAK,10000000,0.126
Anze Kopitar,2019,C,LAK,10000000,0.123
Sergei Bobrovsky,2021,G,FLA,10000000,0.123
