Season,Team,League,Division,GP,W,L,T,OTL,SOL,Pts,Pct,GF,GA,PIM,Atten.,Coach,Result
2011-12,Anaheim Ducks,NHL,Pacific,82,34,36,0,5,7,80,0.488,204,231,,14760,"Carlyle, Boudreau {+}",Out of Playoffs
2012-13,Anaheim Ducks,NHL,Pacific,48,30,12,0,3,3,66,0.688,140,118,,15888,Bruce Boudreau,Lost in round 1
2013-14,Anaheim Ducks,NHL,Pacific,82,54,20,0,2,6,116,0.707,266,209,894,16469,Bruce Boudreau,Lost in round 2
2014-15,Anaheim Ducks,NHL,Pacific,82,51,24,0,2,5,109,0.665,236,226,887,16874,Bruce Boudreau,Lost in round 3
2015-16,Anaheim Ducks,NHL,Pacific,82,46,25,0,7,4,103,0.628,218,192,,16337,Bruce Boudreau,Lost in round 1
2016-17,Anaheim Ducks,NHL,Pacific,82,46,23,0,10,3,105,0.64,223,200,,15942,Randy Carlyle,Lost in round 3
2017-18,Anaheim Ducks,NHL,Pacific,82,44,25,0,6,7,101,0.616,235,216,,16636,Randy Carlyle,Lost in round 1
2018-19,Anaheim Ducks,NHL,Pacific,82,35,37,0,7,3,80,0.488,199,251,,16814,"Carlyle, Murray {+}",Out of Playoffs
2019-20,Anaheim Ducks,NHL,Pacific,71,29,33,0,8,1,67,0.472,187,226,,15847,Dallas Eakins,Out of Playoffs
2020-21,Anaheim Ducks,NHL,West,56,17,30,0,7,2,43,0.384,126,179,,,Dallas Eakins,Out of Playoffs
2011-12,Winnipeg Jets,NHL,Southeast,82,37,35,0,6,4,84,0.512,225,246,,15004,Claude Noel,Out of Playoffs
2012-13,Winnipeg Jets,NHL,Southeast,48,24,21,0,0,3,51,0.531,128,144,,15004,Claude Noel,Out of Playoffs
2013-14,Winnipeg Jets,NHL,Central,82,37,35,0,4,6,84,0.512,227,237,973,15004,"Noel, Maurice {+}",Out of Playoffs
2014-15,Winnipeg Jets,NHL,Central,82,43,26,0,7,6,99,0.604,230,210,,15038,Paul Maurice,Lost in round 1
2015-16,Winnipeg Jets,NHL,Central,82,35,39,0,5,3,78,0.476,215,239,,15294,Paul Maurice,Out of Playoffs
2016-17,Winnipeg Jets,NHL,Central,82,40,35,0,6,1,87,0.53,249,256,,15732,Paul Maurice,Out of Playoffs
2017-18,Winnipeg Jets,NHL,Central,82,52,20,0,8,2,114,0.695,277,218,,15321,Paul Maurice,Lost in round 3
2018-19,Winnipeg Jets,NHL,Central,82,47,30,0,4,1,99,0.604,272,244,,15276,Paul Maurice,Lost in round 1
2019-20,Winnipeg Jets,NHL,Central,71,37,28,0,4,2,80,0.563,216,203,,15794,Paul Maurice,Lost in round 1
2020-21,Winnipeg Jets,NHL,North,56,30,23,0,1,2,63,0.563,170,154,,,Paul Maurice,Lost in round 2
2011-12,Boston Bruins,NHL,Northeast,82,49,29,0,1,3,102,0.622,269,202,,17565,Claude Julien,Lost in round 1
2012-13,Boston Bruins,NHL,Northeast,48,28,14,0,3,3,62,0.646,131,109,,17565,Claude Julien,Lost in Finals
2013-14,Boston Bruins,NHL,Atlantic,82,54,19,0,3,6,117,0.713,261,177,886,17565,Claude Julien,Lost in round 2
2014-15,Boston Bruins,NHL,Atlantic,82,41,27,0,4,10,96,0.585,213,211,,17565,Claude Julien,Out of Playoffs
2015-16,Boston Bruins,NHL,Atlantic,82,42,31,0,7,2,93,0.567,240,230,,18777,Claude Julien,Out of Playoffs
2016-17,Boston Bruins,NHL,Atlantic,82,44,31,0,4,3,95,0.579,234,212,,17565,"Julien, Cassidy {+}",Lost in round 1
2017-18,Boston Bruins,NHL,Atlantic,82,50,20,0,9,3,112,0.683,270,214,,17565,Bruce Cassidy,Lost in round 2
2018-19,Boston Bruins,NHL,Atlantic,82,49,24,0,6,3,107,0.652,259,215,,17565,Bruce Cassidy,Lost in Finals
2019-20,Boston Bruins,NHL,Atlantic,70,44,14,0,5,7,100,0.714,227,174,,17681,Bruce Cassidy,Lost in round 3
2020-21,Boston Bruins,NHL,East,56,33,16,0,5,2,73,0.652,168,136,,,Bruce Cassidy,Lost in round 2
2011-12,Buffalo Sabres,NHL,Northeast,82,39,32,0,4,7,89,0.543,218,230,,18550,Lindy Ruff,Out of Playoffs
2012-13,Buffalo Sabres,NHL,Northeast,48,21,21,0,2,4,48,0.5,125,143,,18970,"Ruff, Rolston {+}",Out of Playoffs
2013-14,Buffalo Sabres,NHL,Atlantic,82,21,51,0,5,5,52,0.317,157,248,903,18580,"Rolston, Nolan {+}",Out of Playoffs
2014-15,Buffalo Sabres,NHL,Atlantic,82,23,51,0,3,5,54,0.329,161,274,,18581,Ted Nolan,Out of Playoffs
2015-16,Buffalo Sabres,NHL,Atlantic,82,35,36,0,4,7,81,0.494,201,222,,18541,Dan Bylsma,Out of Playoffs
2016-17,Buffalo Sabres,NHL,Atlantic,82,33,37,0,6,6,78,0.476,201,237,,18592,Dan Bylsma,Out of Playoffs
2017-18,Buffalo Sabres,NHL,Atlantic,82,25,45,0,10,2,62,0.378,199,280,,18564,Phil Housley,Out of Playoffs
2018-19,Buffalo Sabres,NHL,Atlantic,82,33,39,0,7,3,76,0.463,226,271,,17908,Phil Housley,Out of Playoffs
2019-20,Buffalo Sabres,NHL,Atlantic,69,30,31,0,6,2,68,0.493,195,217,,17167,Ralph Krueger,Out of Playoffs
2020-21,Buffalo Sabres,NHL,East,56,15,34,0,4,3,37,0.33,138,199,,,"Krueger, Granato {+}",Out of Playoffs
2011-12,Calgary Flames,NHL,Northwest,82,37,29,0,7,9,90,0.549,202,226,,19289,Brent Sutter,Out of Playoffs
2012-13,Calgary Flames,NHL,Northwest,48,19,25,0,1,3,42,0.438,128,160,,19289,Bob Hartley,Out of Playoffs
2013-14,Calgary Flames,NHL,Pacific,82,35,40,0,4,3,77,0.47,209,241,858,19302,Bob Hartley,Out of Playoffs
2014-15,Calgary Flames,NHL,Pacific,82,45,30,0,4,3,97,0.591,241,216,,19097,Bob Hartley,Lost in round 2
2015-16,Calgary Flames,NHL,Pacific,82,35,40,0,4,3,77,0.47,231,260,,19146,Bob Hartley,Out of Playoffs
2016-17,Calgary Flames,NHL,Pacific,82,45,33,0,2,2,94,0.573,226,221,,18728,Glen Gulutzan,Lost in round 1
2017-18,Calgary Flames,NHL,Pacific,82,37,35,0,5,5,84,0.512,218,248,,18905,Glen Gulutzan,Out of Playoffs
2018-19,Calgary Flames,NHL,Pacific,82,50,25,0,3,4,107,0.652,289,227,,18501,Bill Peters,Lost in round 1
2019-20,Calgary Flames,NHL,Pacific,70,36,27,0,6,1,79,0.564,210,215,,18751,"Peters, Ward {+}",Lost in round 2
2020-21,Calgary Flames,NHL,North,56,26,27,0,2,1,55,0.491,156,161,,,Darryl Sutter,Out of Playoffs
2011-12,Chicago Blackhawks,NHL,Central,82,45,26,0,4,7,101,0.616,248,238,,21534,Joel Quenneville,Lost in round 1
2012-13,Chicago Blackhawks,NHL,Central,48,36,7,0,0,5,77,0.802,155,102,,21776,Joel Quenneville,Won Championship
2013-14,Chicago Blackhawks,NHL,Central,82,46,21,0,7,8,107,0.652,267,220,699,22623,Joel Quenneville,Lost in round 3
2014-15,Chicago Blackhawks,NHL,Central,82,48,28,0,3,3,102,0.622,229,189,,21769,Joel Quenneville,Won Championship
2015-16,Chicago Blackhawks,NHL,Central,82,47,26,0,7,2,103,0.628,235,209,,21860,Joel Quenneville,Lost in round 1
2016-17,Chicago Blackhawks,NHL,Central,82,50,23,0,8,1,109,0.665,244,213,,21752,Joel Quenneville,Lost in round 1
2017-18,Chicago Blackhawks,NHL,Central,82,33,39,0,8,2,76,0.463,229,256,,21654,Joel Quenneville,Out of Playoffs
2018-19,Chicago Blackhawks,NHL,Central,82,36,34,0,11,1,84,0.512,270,292,,22734,"Quenneville, Colliton {+}",Out of Playoffs
2019-20,Chicago Blackhawks,NHL,Central,70,32,30,0,4,4,72,0.514,212,218,,21441,Jeremy Colliton,Lost in round 2
2020-21,Chicago Blackhawks,NHL,Central,56,24,25,0,5,2,55,0.491,161,186,,,Jeremy Colliton,Out of Playoffs
