,id,name,position,games,goals,assists
0,8478421,A.J. Greer,Forward,1.0,0.0,0.0
1,8473541,Jonathan Bernier,Goalie,24.0,0.0,0.0
2,8474056,P.K. Subban,Defenseman,44.0,5.0,14.0
3,8475809,Scott Wedgewood,Goalie,16.0,0.0,0.0
4,8476462,Dougie Hamilton,Defenseman,55.0,10.0,32.0
5,8476923,Damon Severson,Defenseman,56.0,3.0,18.0
6,8477341,Andreas Johnsson,Forward,50.0,5.0,6.0
7,8477425,Miles Wood,Forward,55.0,17.0,8.0
8,8477435,Ryan Graves,Defenseman,54.0,2.0,13.0
9,8478399,Jonas Siegenthaler,Defenseman,15.0,0.0,0.0
10,8478401,Pavel Zacha,Forward,50.0,17.0,18.0
11,8478406,Mackenzie Blackwood,Goalie,35.0,0.0,0.0
12,8478868,Christian Jaros,Defenseman,7.0,0.0,1.0
13,8479407,Jesper Bratt,Forward,46.0,7.0,23.0
14,8479415,Michael McLeod,Forward,52.0,9.0,6.0
15,8479511,Janne Kuokkanen,Forward,50.0,8.0,17.0
16,8480002,Nico Hischier,Forward,21.0,6.0,5.0
17,8480003,Jesper Boqvist,Forward,28.0,4.0,3.0
18,8480883,Ty Smith,Defenseman,48.0,2.0,21.0
19,8481559,Jack Hughes,Forward,56.0,11.0,20.0
20,8475314,Anders Lee,Forward,27.0,12.0,7.0
21,8470187,Johnny Boychuk,Defenseman,,,
22,8476917,Adam Pelech,Defenseman,56.0,4.0,10.0
23,8472382,Andy Greene,Defenseman,55.0,1.0,4.0
24,8473463,Leo Komarov,Forward,33.0,1.0,7.0
25,8473504,Cal Clutterbuck,Forward,50.0,4.0,7.0
26,8473575,Semyon Varlamov,Goalie,36.0,0.0,0.0
27,8474066,Thomas Hickey,Defenseman,5.0,0.0,2.0
28,8474573,Josh Bailey,Forward,54.0,8.0,27.0
29,8474709,Matt Martin,Forward,54.0,6.0,5.0
30,8475209,Richard Panik,Forward,48.0,4.0,9.0
31,8475754,Brock Nelson,Forward,56.0,18.0,15.0
32,8476419,Jean-Gabriel Pageau,Forward,54.0,14.0,14.0
33,8476429,Scott Mayfield,Defenseman,56.0,2.0,13.0
34,8477506,Ryan Pulock,Defenseman,56.0,2.0,15.0
35,8477527,Ross Johnston,Forward,12.0,0.0,1.0
36,8478009,Ilya Sorokin,Goalie,22.0,0.0,0.0
37,8478445,Mathew Barzal,Forward,55.0,17.0,28.0
38,8478463,Anthony Beauvillier,Forward,47.0,15.0,13.0
